user_id:token	item_id:token	rating:float	timestamp:float	wday:float
305	190	3	886322966	6.0
451	690	4	879012382	6.0
254	167	3	886474712	1.0
95	290	3	879193973	1.0
639	168	1	891240678	0.0
437	727	3	881001576	1.0
851	92	5	875806791	3.0
590	126	5	879439316	4.0
852	407	3	891037778	5.0
660	405	2	891198479	0.0
782	127	4	891499213	3.0
776	5	4	892920320	6.0
788	670	3	880870935	6.0
899	254	2	884122845	2.0
339	29	3	891035759	5.0
450	90	4	887660650	1.0
67	1095	4	875379287	6.0
554	276	3	876548886	5.0
922	568	3	891450524	3.0
20	1	3	879667963	6.0
684	67	3	878762144	3.0
283	173	5	879298206	2.0
311	433	3	884364931	5.0
698	300	4	886365577	0.0
286	738	5	877534903	2.0
472	931	2	883904681	6.0
815	191	5	878693183	2.0
360	405	3	880354347	0.0
83	717	4	880307339	0.0
428	307	4	885944110	2.0
504	928	4	887831353	3.0
183	739	4	891467353	3.0
913	269	5	881725938	2.0
234	291	3	892335342	6.0
747	1194	5	888639102	5.0
329	274	3	891656639	5.0
690	148	3	881178365	3.0
861	213	5	881274759	4.0
343	1132	4	876403746	3.0
908	288	4	879722097	0.0
249	198	5	879572349	5.0
299	45	3	878192238	3.0
188	281	3	875074772	2.0
132	275	3	891278915	1.0
445	480	3	890988206	4.0
616	937	4	891224919	0.0
622	196	3	882669695	6.0
514	11	4	875318082	5.0
249	930	2	879640585	6.0
851	302	5	888540054	4.0
234	609	3	892335186	6.0
724	346	1	883757703	5.0
234	86	2	892333765	6.0
64	434	4	889739052	4.0
207	302	4	891759118	6.0
197	690	3	891409255	2.0
882	117	4	879861492	1.0
115	32	5	881171348	3.0
337	879	3	875429233	6.0
847	928	3	878939375	5.0
207	411	3	877750701	5.0
210	44	3	887737710	2.0
638	210	4	876695478	0.0
26	25	3	891373727	2.0
489	339	3	891448428	3.0
541	255	3	884046321	1.0
933	164	2	874854461	6.0
87	96	5	879875734	2.0
276	71	4	874792870	6.0
934	902	4	891188580	0.0
406	143	1	879445935	4.0
804	182	4	879444924	4.0
374	173	3	882158521	0.0
358	511	2	891271035	0.0
840	212	4	891209159	0.0
594	245	3	874780909	6.0
719	294	2	877311109	0.0
20	94	2	879669954	6.0
916	732	3	880844862	6.0
314	1210	4	877889861	0.0
226	813	4	883890235	6.0
648	203	1	884796571	3.0
86	1175	5	879570973	5.0
44	318	5	878347340	5.0
115	69	1	881171825	3.0
778	42	5	890670510	1.0
566	582	5	881650186	1.0
829	318	5	883149860	4.0
566	25	2	881651077	1.0
279	398	4	875310764	5.0
406	420	4	879793112	1.0
130	271	5	879352077	3.0
893	1215	3	874829287	6.0
385	290	3	879440674	4.0
246	993	3	884920770	4.0
821	476	4	874792403	6.0
630	322	3	885666211	6.0
200	771	4	884130721	2.0
201	93	5	884113662	2.0
303	673	4	879468250	4.0
405	1118	1	885547268	4.0
448	1062	5	891888178	1.0
716	620	3	879797287	1.0
280	405	2	891700963	5.0
246	3	2	884923390	4.0
870	177	4	875050827	2.0
585	1475	3	891283681	1.0
764	4	3	876245421	2.0
572	286	4	879449179	4.0
712	243	4	874956228	1.0
690	232	4	881177689	3.0
174	905	3	890168415	2.0
221	1090	3	875246783	4.0
349	619	4	879466000	4.0
133	272	5	890588672	0.0
23	13	4	874784497	6.0
796	1269	5	892662765	3.0
200	188	4	884129160	2.0
848	476	3	887047674	1.0
398	732	4	875719199	2.0
109	1222	4	880579758	3.0
862	647	5	879304369	2.0
500	639	4	883875195	6.0
92	515	4	875640800	2.0
648	254	3	884367248	5.0
766	487	3	891309090	1.0
674	539	1	887763151	2.0
934	708	3	891192329	0.0
264	153	5	886122031	4.0
934	89	5	891191157	0.0
664	732	3	876525315	5.0
537	15	3	886030051	3.0
44	161	4	878347634	5.0
284	262	4	885328836	2.0
54	340	4	890608225	0.0
156	178	5	888185777	0.0
757	405	4	888444583	3.0
336	26	5	877757877	5.0
823	356	3	878439467	6.0
60	613	4	883326497	0.0
433	323	1	880585530	3.0
240	748	3	885775831	0.0
409	482	4	881168712	3.0
417	392	3	880950280	0.0
204	340	5	892389195	6.0
244	118	2	880604981	3.0
59	3	4	888203814	0.0
69	321	4	882027133	5.0
643	508	4	891445287	2.0
435	393	2	884133610	2.0
927	625	3	879191360	1.0
20	176	2	879669152	6.0
60	665	4	883326893	0.0
565	855	5	891037628	5.0
889	411	2	880177541	5.0
766	265	3	891309357	1.0
877	216	4	882677827	6.0
295	89	5	879519555	4.0
859	955	5	885776352	0.0
70	431	3	884150257	2.0
406	152	2	880131666	5.0
661	52	4	876017029	6.0
189	10	5	893264335	3.0
524	291	4	884627777	1.0
393	1441	3	889728554	4.0
249	188	4	879641067	6.0
311	81	3	884365451	5.0
338	604	4	879438326	4.0
378	729	4	880046069	4.0
870	1112	2	879714902	0.0
941	117	5	875048886	2.0
77	357	3	884752970	2.0
902	307	3	879463582	4.0
666	709	4	880314144	0.0
73	196	4	888626177	5.0
320	825	4	884749550	2.0
747	282	2	888640475	5.0
776	569	3	892920403	6.0
885	174	5	885715780	6.0
548	1014	4	891043932	5.0
417	44	2	880951252	0.0
373	100	3	877100199	4.0
542	315	4	886532120	2.0
936	312	3	886831853	5.0
201	334	4	884110927	2.0
49	588	4	888067031	5.0
77	833	1	884733284	2.0
883	580	3	891693200	5.0
860	316	3	889627165	2.0
733	9	3	879535406	5.0
484	679	2	891195476	0.0
733	544	1	879535407	5.0
60	69	4	883326215	0.0
536	195	4	882359431	2.0
23	162	3	874786950	6.0
234	192	3	892078984	3.0
870	168	4	875680472	2.0
292	115	4	881104194	2.0
617	288	1	883788566	5.0
206	990	1	888179913	0.0
639	381	2	891239581	0.0
460	253	3	882912316	2.0
896	587	3	887159603	2.0
453	268	4	877552481	3.0
151	966	4	879543457	5.0
920	299	2	884220163	3.0
295	740	4	879517225	4.0
629	991	1	880115923	4.0
218	154	4	877488546	2.0
