user_id:token	item_id:token	rating:float	timestamp:float	wday:float
196	1241	3	881251642	4.0
196	111	4	881251793	4.0
196	428	4	881251702	4.0
196	110	1	881252305	4.0
196	663	5	881251911	4.0
196	285	5	881251753	4.0
196	340	3	881251045	3.0
196	251	3	881251274	4.0
196	70	3	881251842	4.0
196	67	5	881252017	4.0
196	269	3	881250949	3.0
196	393	4	881251863	4.0
196	153	5	881251820	4.0
196	762	3	881251955	4.0
196	382	4	881251843	4.0
196	286	5	881250949	3.0
196	845	4	881251954	4.0
196	66	3	881251911	4.0
196	242	3	881250949	3.0
186	225	4	879024148	6.0
186	770	2	879023819	6.0
186	1385	2	879023968	6.0
186	880	3	891718700	6.0
186	55	4	879023556	6.0
186	477	4	891719775	6.0
186	147	4	891719774	6.0
186	1042	5	879023632	6.0
186	333	3	891718820	6.0
186	38	5	879023723	6.0
186	203	5	879023529	6.0
186	327	3	891717806	6.0
186	177	4	891719775	6.0
186	53	1	879023882	6.0
186	988	4	891719775	6.0
186	288	1	879022858	6.0
186	291	4	879023073	6.0
186	12	1	879023460	6.0
186	983	3	879023152	6.0
186	281	4	879023390	6.0
186	118	2	879023242	6.0
186	742	3	879023073	6.0
186	546	4	891719775	6.0
186	332	4	891719775	6.0
186	939	5	879023529	6.0
186	977	3	879023273	6.0
186	71	5	879024535	6.0
186	1336	3	879024346	6.0
186	77	5	879023694	6.0
186	754	2	891717690	6.0
186	31	4	879023529	6.0
186	117	5	879023607	6.0
186	257	4	891719774	6.0
186	148	4	891719774	6.0
186	302	3	891717742	6.0
186	591	4	879023073	6.0
186	1016	5	879023643	6.0
186	121	2	879023074	6.0
186	322	5	879022927	6.0
186	588	4	879024535	6.0
186	1083	1	879023599	6.0
186	303	3	891717938	6.0
186	1253	4	891719774	6.0
186	934	3	879023968	6.0
186	100	4	879023115	6.0
186	595	3	879023390	6.0
22	110	1	878887157	4.0
22	184	5	878887869	4.0
22	651	4	878887810	4.0
22	449	1	878888145	4.0
22	176	5	878887765	4.0
22	684	3	878887983	4.0
22	265	3	878888066	4.0
22	502	4	878886647	4.0
22	4	5	878886571	4.0
22	128	5	878887983	4.0
22	384	3	878887413	4.0
22	161	4	878887925	4.0
22	24	5	878888026	4.0
22	204	5	878886607	4.0
22	94	3	878887277	4.0
22	546	3	878888107	4.0
22	792	4	878886647	4.0
22	96	5	878887680	4.0
22	167	3	878887023	4.0
22	732	4	878886710	4.0
22	121	3	878887925	4.0
22	229	2	878887925	4.0
22	29	1	878888228	4.0
22	294	1	878886262	4.0
22	208	5	878886607	4.0
22	688	1	878886307	4.0
22	85	5	878886989	4.0
22	250	5	878888251	4.0
22	683	1	878886307	4.0
22	996	1	878887158	4.0
22	258	5	878886261	4.0
22	665	1	878888145	4.0
22	127	5	878887869	4.0
22	187	5	878887680	4.0
